Execution times in seconds 
82.473
101.547
77.779
41.822
41.544
42.643
43.072
41.501
40.41
41.605


 Best makespans 
65761.0 31743.0
66044.0 31708.0
67053.0 31538.0
67731.0 31480.0
68057.0 29861.0
68353.0 29602.0
68934.0 29279.0
69280.0 28926.0
69755.0 28829.0
70342.0 28047.0
72029.0 27981.0
72070.0 27766.0
73457.0 27301.0
74720.0 27177.0
74774.0 26973.0
75751.0 26827.0
77562.0 26819.0
77671.0 26754.0
78367.0 26747.0
79793.0 26197.0
80548.0 25855.0
81781.0 25727.0
82915.0 25631.0
83570.0 25284.0
85379.0 24931.0
86001.0 24684.0
86988.0 24386.0
89219.0 24316.0
90787.0 24240.0
91327.0 24145.0
94196.0 23815.0
94623.0 23766.0
95988.0 23572.0
97349.0 23475.0
100846.0 23000.0
102370.0 22998.0
103214.0 22579.0
105090.0 22257.0
107531.0 22092.0
107795.0 22042.0
108350.0 21897.0
109362.0 21868.0
109758.0 21795.0
110633.0 21591.0
112466.0 21533.0
115878.0 21454.0
117273.0 21157.0
118252.0 21045.0
120848.0 20984.0
121290.0 20447.0
123851.0 20321.0
125372.0 19900.0
129252.0 19766.0
130848.0 19229.0
132191.0 19169.0
132416.0 19098.0
136397.0 18772.0
139554.0 18395.0
143490.0 18086.0
147722.0 17907.0
148117.0 17588.0
149370.0 17035.0
161584.0 16669.0
187474.0 16390.0

39095.0 52717.0
39241.0 51723.0
39806.0 48821.0
40512.0 47684.0
40780.0 46748.0
41657.0 46560.0
42386.0 46139.0
43117.0 45849.0
43481.0 44938.0
43580.0 44840.0
44494.0 43808.0
44983.0 43490.0
45548.0 43283.0
46202.0 43115.0
46352.0 42826.0
47015.0 42684.0
47443.0 42605.0
47444.0 42238.0
47709.0 41841.0
47737.0 41330.0
48352.0 41284.0
48863.0 40771.0
49124.0 40610.0
49148.0 40397.0
49166.0 40012.0
50577.0 39914.0
51112.0 39187.0
51124.0 38858.0
51177.0 38620.0
52873.0 38481.0
53341.0 38254.0
53663.0 37971.0
54204.0 37903.0
54210.0 37762.0
55385.0 37629.0
55560.0 37170.0
55619.0 37153.0
55804.0 37019.0
56885.0 36605.0
56907.0 36305.0
57403.0 35880.0
57653.0 35879.0
57795.0 35803.0
58304.0 35749.0
58782.0 35666.0
58978.0 34811.0
59260.0 34529.0
59462.0 34424.0
61023.0 34218.0
62595.0 32813.0
62720.0 32147.0
63579.0 31952.0
63650.0 31630.0
65766.0 30924.0
66319.0 30825.0
66451.0 30266.0
66974.0 30117.0
68329.0 29958.0
69628.0 29345.0
70558.0 29007.0
70664.0 28838.0
70715.0 28631.0
72133.0 28020.0
73216.0 27908.0
73886.0 27872.0
74058.0 27759.0
74096.0 27711.0
74208.0 27643.0
75457.0 27611.0
76083.0 27169.0
76759.0 26723.0
78563.0 26684.0
78873.0 26643.0
80094.0 26548.0
80931.0 26470.0
80976.0 26373.0
81103.0 26364.0
81378.0 25478.0
81875.0 25256.0
82348.0 25085.0
84876.0 24766.0
86160.0 24673.0
87820.0 24519.0
88180.0 24517.0
88497.0 24406.0
91599.0 24024.0
92987.0 23919.0
93646.0 23658.0
94615.0 23527.0
95134.0 23510.0
95810.0 23413.0
98659.0 23203.0
99818.0 22985.0
100062.0 22843.0
101971.0 22636.0
104408.0 22590.0
104883.0 22323.0
105934.0 22196.0
108139.0 21744.0
111072.0 21657.0
112569.0 21530.0
112591.0 21400.0
115112.0 21155.0
115694.0 20848.0
117264.0 20838.0
118952.0 20645.0
119914.0 20565.0
123720.0 20415.0
124301.0 20375.0
126707.0 19686.0
128515.0 19364.0
134366.0 19046.0
135555.0 18804.0
137693.0 18568.0
138888.0 18539.0
140664.0 18443.0
142643.0 18419.0
145849.0 17550.0
148671.0 17378.0
154016.0 17118.0
162887.0 16646.0
171146.0 16523.0
171463.0 16515.0
204160.0 16365.0

36142.0 52706.0
36226.0 52255.0
36903.0 50865.0
37236.0 50802.0
37526.0 50790.0
37616.0 50540.0
37648.0 50232.0
37923.0 49908.0
38402.0 49842.0
38908.0 49614.0
39039.0 49542.0
39215.0 47686.0
39593.0 47573.0
40658.0 47475.0
40837.0 46884.0
41018.0 46839.0
41027.0 46222.0
42014.0 45856.0
42747.0 45571.0
42945.0 44836.0
43167.0 44700.0
44161.0 44204.0
44522.0 43687.0
44830.0 43133.0
45262.0 42603.0
46714.0 42208.0
46810.0 41351.0
48517.0 41232.0
48700.0 40456.0
48949.0 40137.0
49441.0 39577.0
50220.0 39562.0
51824.0 39464.0
52120.0 39265.0
